sample_id,assembler,FN,TN,TP,FP,accuracy,F1_score
SAMEA2466887,Hybrid (hybridspades),216,1187,51,0,0.8514442916093535,0.320754716981132
SAMEA2466887,LR (metaflye),243,1187,24,0,0.8328748280605227,0.1649484536082474
SAMEA2466887,SR (megahit),190,1187,77,0,0.8693259972489684,0.4476744186046512
SAMEA2466913,Hybrid (hybridspades),212,1184,58,0,0.8541953232462174,0.3536585365853658
SAMEA2466913,LR (metaflye),238,1184,32,0,0.8363136176066025,0.2119205298013245
SAMEA2466913,SR (megahit),189,1184,81,0,0.8700137551581844,0.4615384615384615
SAMEA2466915,Hybrid (hybridspades),179,1238,37,0,0.8768913342503438,0.2924901185770751
SAMEA2466915,LR (metaflye),194,1238,22,0,0.8665749656121046,0.1848739495798319
SAMEA2466915,SR (megahit),152,1238,64,0,0.8954607977991746,0.4571428571428571
SAMEA2466923,Hybrid (hybridspades),86,1336,32,0,0.9408528198074276,0.4266666666666667
SAMEA2466923,LR (metaflye),101,1336,17,0,0.9305364511691884,0.2518518518518518
SAMEA2466923,SR (megahit),78,1336,40,0,0.9463548830811556,0.5063291139240507
SAMEA2466930,Hybrid (hybridspades),232,1169,53,0,0.8404401650618982,0.3136094674556213
SAMEA2466930,LR (metaflye),280,1169,5,0,0.8074277854195323,0.0344827586206896
SAMEA2466930,SR (megahit),197,1169,88,0,0.8645116918844566,0.4718498659517426
SAMEA2466959,Hybrid (hybridspades),263,1144,47,0,0.8191196698762035,0.2633053221288515
SAMEA2466959,LR (metaflye),287,1144,23,0,0.8026134800550206,0.1381381381381381
SAMEA2466959,SR (megahit),234,1144,76,0,0.8390646492434664,0.3937823834196891
SAMEA2466965,Hybrid (hybridspades),171,1222,61,0,0.8823933975240715,0.4163822525597269
SAMEA2466965,LR (metaflye),229,1221,3,1,0.8418156808803301,0.0254237288135593
SAMEA2466965,SR (megahit),137,1222,95,0,0.905777166437414,0.581039755351682
SAMEA2466974,Hybrid (hybridspades),229,1168,57,0,0.842503438789546,0.3323615160349854
SAMEA2466974,LR (metaflye),266,1168,20,0,0.8170563961485557,0.130718954248366
SAMEA2466974,SR (megahit),204,1168,82,0,0.859697386519945,0.4456521739130434
SAMEA2466977,Hybrid (hybridspades),202,1200,51,1,0.8603851444291609,0.3344262295081967
SAMEA2466977,LR (metaflye),231,1201,22,0,0.8411279229711142,0.16
SAMEA2466977,SR (megahit),168,1201,85,0,0.8844566712517193,0.5029585798816568
SAMEA2466984,Hybrid (hybridspades),272,1113,69,0,0.81292984869326,0.3365853658536585
SAMEA2466984,LR (metaflye),313,1113,28,0,0.7847317744154058,0.1517615176151761
SAMEA2466984,SR (megahit),238,1113,103,0,0.8363136176066025,0.4639639639639639
SAMEA2467013,Hybrid (hybridspades),221,1182,51,0,0.8480055020632737,0.3157894736842105
SAMEA2467013,LR (metaflye),249,1182,23,0,0.828748280605227,0.1559322033898305
SAMEA2467013,SR (megahit),187,1182,85,0,0.8713892709766162,0.4761904761904761
SAMEA2467016,Hybrid (hybridspades),196,1202,56,0,0.8651994497936726,0.3636363636363636
SAMEA2467016,LR (metaflye),227,1202,25,0,0.843878954607978,0.1805054151624548
SAMEA2467016,SR (megahit),166,1202,86,0,0.8858321870701513,0.5088757396449705
SAMEA2467017,Hybrid (hybridspades),204,1182,68,0,0.859697386519945,0.4
SAMEA2467017,LR (metaflye),246,1182,26,0,0.8308115543328748,0.174496644295302
SAMEA2467017,SR (megahit),179,1182,93,0,0.8768913342503438,0.5095890410958904
SAMEA2467020,Hybrid (hybridspades),255,1127,72,0,0.8246217331499313,0.3609022556390977
SAMEA2467020,LR (metaflye),302,1127,25,0,0.7922971114167813,0.1420454545454545
SAMEA2467020,SR (megahit),217,1127,110,0,0.8507565337001376,0.5034324942791762
SAMEA2467021,Hybrid (hybridspades),235,1160,59,0,0.8383768913342503,0.3342776203966006
SAMEA2467021,LR (metaflye),267,1160,27,0,0.8163686382393398,0.1682242990654205
SAMEA2467021,SR (megahit),205,1160,89,0,0.859009628610729,0.464751958224543
SAMEA2467029,Hybrid (hybridspades),291,1100,63,0,0.7998624484181568,0.302158273381295
SAMEA2467029,LR (metaflye),328,1100,26,0,0.7744154057771664,0.1368421052631579
SAMEA2467029,SR (megahit),259,1100,95,0,0.8218707015130674,0.4231625835189309
SAMEA2467031,Hybrid (hybridspades),244,1150,60,0,0.8321870701513068,0.3296703296703296
SAMEA2467031,LR (metaflye),272,1149,32,1,0.812242090784044,0.1899109792284866
SAMEA2467031,SR (megahit),204,1150,100,0,0.859697386519945,0.495049504950495
SAMEA2467035,Hybrid (hybridspades),287,1099,68,0,0.8026134800550206,0.3215130023640662
SAMEA2467035,LR (metaflye),321,1099,34,0,0.7792297111416782,0.1748071979434447
SAMEA2467035,SR (megahit),240,1099,115,0,0.8349381017881705,0.4893617021276595
SAMEA2467041,Hybrid (hybridspades),170,1234,50,0,0.8830811554332875,0.3703703703703703
SAMEA2467041,LR (metaflye),191,1234,29,0,0.8686382393397524,0.2329317269076305
SAMEA2467041,SR (megahit),141,1234,79,0,0.9030261348005502,0.5284280936454849
SAMEA2467043,Hybrid (hybridspades),114,1305,35,0,0.921595598349381,0.3804347826086957
SAMEA2467043,LR (metaflye),127,1305,22,0,0.9126547455295736,0.2573099415204678
SAMEA2467043,SR (megahit),96,1305,53,0,0.9339752407152684,0.5247524752475248
SAMEA2467046,Hybrid (hybridspades),262,1138,54,0,0.8198074277854195,0.2918918918918919
SAMEA2467046,LR (metaflye),291,1138,25,0,0.7998624484181568,0.1466275659824047
SAMEA2467046,SR (megahit),228,1138,88,0,0.8431911966987621,0.4356435643564356
SAMEA2467050,Hybrid (hybridspades),225,1167,62,0,0.8452544704264099,0.3553008595988539
SAMEA2467050,LR (metaflye),258,1167,29,0,0.8225584594222833,0.1835443037974683
SAMEA2467050,SR (megahit),204,1167,83,0,0.859697386519945,0.4486486486486487
SAMEA2467053,Hybrid (hybridspades),151,1262,41,0,0.8961485557083907,0.351931330472103
SAMEA2467053,LR (metaflye),172,1262,20,0,0.8817056396148556,0.1886792452830188
SAMEA2467053,SR (megahit),138,1262,54,0,0.905089408528198,0.4390243902439024
SAMEA2467056,Hybrid (hybridspades),114,1285,55,0,0.921595598349381,0.4910714285714285
SAMEA2467056,LR (metaflye),142,1285,27,0,0.9023383768913342,0.2755102040816326
SAMEA2467056,SR (megahit),89,1285,80,0,0.93878954607978,0.642570281124498
SAMEA2467057,Hybrid (hybridspades),118,1288,48,0,0.9188445667125172,0.4485981308411215
SAMEA2467057,LR (metaflye),142,1288,24,0,0.9023383768913342,0.2526315789473684
SAMEA2467057,SR (megahit),95,1288,71,0,0.9346629986244842,0.5991561181434599
SAMEA2467058,Hybrid (hybridspades),148,1261,45,0,0.8982118294360385,0.3781512605042016
SAMEA2467058,LR (metaflye),170,1261,23,0,0.8830811554332875,0.2129629629629629
SAMEA2467058,SR (megahit),131,1261,62,0,0.9099037138927096,0.4862745098039215
SAMEA2467061,Hybrid (hybridspades),249,1140,65,0,0.828748280605227,0.3430079155672823
SAMEA2467061,LR (metaflye),292,1140,22,0,0.7991746905089409,0.1309523809523809
SAMEA2467061,SR (megahit),224,1140,90,0,0.8459422283356258,0.4455445544554455
SAMEA2467063,Hybrid (hybridspades),155,1243,56,0,0.8933975240715268,0.4194756554307116
SAMEA2467063,LR (metaflye),182,1243,29,0,0.874828060522696,0.2416666666666666
SAMEA2467063,SR (megahit),138,1243,73,0,0.905089408528198,0.5140845070422535
SAMEA2467068,Hybrid (hybridspades),54,1366,34,0,0.9628610729023384,0.5573770491803278
SAMEA2467068,LR (metaflye),74,1366,14,0,0.9491059147180192,0.2745098039215686
SAMEA2467068,SR (megahit),44,1366,44,0,0.969738651994498,0.6666666666666666
SAMEA2467070,Hybrid (hybridspades),127,1280,47,0,0.9126547455295736,0.4253393665158371
SAMEA2467070,LR (metaflye),152,1280,22,0,0.8954607977991746,0.2244897959183673
SAMEA2467070,SR (megahit),107,1280,67,0,0.9264099037138928,0.5560165975103735
SAMEA2467074,Hybrid (hybridspades),252,1144,58,0,0.8266850068775791,0.3152173913043478
SAMEA2467074,LR (metaflye),285,1144,25,0,0.8039889958734525,0.1492537313432835
SAMEA2467074,SR (megahit),222,1144,88,0,0.8473177441540578,0.4422110552763819
SAMEA2467075,Hybrid (hybridspades),175,1216,63,0,0.8796423658872077,0.4186046511627907
SAMEA2467075,LR (metaflye),208,1216,30,0,0.8569463548830811,0.2238805970149253
SAMEA2467075,SR (megahit),160,1216,78,0,0.889958734525447,0.4936708860759494
SAMEA2467077,Hybrid (hybridspades),179,1214,61,0,0.8768913342503438,0.4053156146179402
SAMEA2467077,LR (metaflye),208,1214,32,0,0.8569463548830811,0.2352941176470588
SAMEA2467077,SR (megahit),153,1214,87,0,0.8947730398899587,0.5321100917431193
SAMEA3136627,Hybrid (hybridspades),229,1164,61,0,0.842503438789546,0.3475783475783476
SAMEA3136627,LR (metaflye),269,1164,21,0,0.8149931224209078,0.135048231511254
SAMEA3136627,SR (megahit),193,1164,97,0,0.8672627235213205,0.5012919896640827
SAMEA3136634,Hybrid (hybridspades),229,1170,55,0,0.842503438789546,0.3244837758112094
SAMEA3136634,LR (metaflye),261,1170,23,0,0.8204951856946355,0.1498371335504886
SAMEA3136634,SR (megahit),193,1170,91,0,0.8672627235213205,0.4853333333333333
SAMEA3136644,Hybrid (hybridspades),255,1126,73,0,0.8246217331499313,0.3640897755610973
SAMEA3136644,LR (metaflye),297,1126,31,0,0.7957359009628611,0.1727019498607242
SAMEA3136644,SR (megahit),216,1126,112,0,0.8514442916093535,0.509090909090909
SAMEA3136648,Hybrid (hybridspades),189,1217,48,0,0.8700137551581844,0.3368421052631579
SAMEA3136648,LR (metaflye),207,1217,30,0,0.8576341127922971,0.2247191011235955
SAMEA3136648,SR (megahit),155,1217,82,0,0.8933975240715268,0.5141065830721003
SAMEA3136660,Hybrid (hybridspades),88,1332,34,0,0.939477303988996,0.4358974358974359
SAMEA3136660,LR (metaflye),106,1332,16,0,0.9270976616231088,0.2318840579710145
SAMEA3136660,SR (megahit),70,1332,52,0,0.951856946354883,0.5977011494252874
SAMEA3136663,Hybrid (hybridspades),131,1278,45,0,0.9099037138927096,0.4072398190045249
SAMEA3136663,LR (metaflye),158,1278,18,0,0.8913342503438789,0.1855670103092783
SAMEA3136663,SR (megahit),117,1278,59,0,0.9195323246217332,0.502127659574468
SAMEA3136666,Hybrid (hybridspades),168,1241,44,1,0.8837689133425034,0.3424124513618677
SAMEA3136666,LR (metaflye),192,1242,20,0,0.8679504814305364,0.1724137931034483
SAMEA3136666,SR (megahit),146,1242,66,0,0.8995873452544704,0.4748201438848921
SAMEA3136668,Hybrid (hybridspades),87,1338,29,0,0.9401650618982118,0.4
SAMEA3136668,LR (metaflye),101,1338,15,0,0.9305364511691884,0.2290076335877862
SAMEA3136668,SR (megahit),75,1338,41,0,0.9484181568088031,0.5222929936305732
SAMEA3136724,Hybrid (hybridspades),126,1297,31,0,0.9133425034387896,0.3297872340425531
SAMEA3136724,LR (metaflye),135,1297,22,0,0.907152682255846,0.2458100558659217
SAMEA3136724,SR (megahit),110,1297,47,0,0.9243466299862448,0.4607843137254901
SAMEA3136727,Hybrid (hybridspades),240,1153,61,0,0.8349381017881705,0.3370165745856354
SAMEA3136727,LR (metaflye),271,1153,30,0,0.813617606602476,0.1812688821752265
SAMEA3136727,SR (megahit),204,1153,97,0,0.859697386519945,0.4874371859296482
SAMEA3136736,Hybrid (hybridspades),125,1272,57,0,0.9140302613480056,0.4769874476987448
SAMEA3136736,LR (metaflye),153,1272,29,0,0.8947730398899587,0.2748815165876777
SAMEA3136736,SR (megahit),102,1272,80,0,0.9298486932599724,0.6106870229007634
SAMEA3136741,Hybrid (hybridspades),183,1210,61,0,0.8741403026134801,0.4
SAMEA3136741,LR (metaflye),216,1210,28,0,0.8514442916093535,0.2058823529411764
SAMEA3136741,SR (megahit),166,1210,78,0,0.8858321870701513,0.484472049689441
SAMEA3136744,Hybrid (hybridspades),121,1300,33,0,0.9167812929848692,0.3529411764705882
SAMEA3136744,LR (metaflye),137,1300,17,0,0.905777166437414,0.1988304093567251
SAMEA3136744,SR (megahit),104,1300,50,0,0.9284731774415406,0.4901960784313725
SAMEA3136759,Hybrid (hybridspades),257,1132,65,0,0.8232462173314993,0.3359173126614987
SAMEA3136759,LR (metaflye),290,1132,32,0,0.8005502063273727,0.1807909604519774
SAMEA3136759,SR (megahit),223,1132,99,0,0.8466299862448419,0.4703087885985748
SAMEA3136763,Hybrid (hybridspades),183,1233,38,0,0.8741403026134801,0.2934362934362934
SAMEA3136763,LR (metaflye),202,1233,19,0,0.8610729023383769,0.1583333333333333
SAMEA3136763,SR (megahit),155,1233,66,0,0.8933975240715268,0.4599303135888501
SAMEA3136769,Hybrid (hybridspades),89,1339,26,0,0.93878954607978,0.3687943262411347
SAMEA3136769,LR (metaflye),106,1339,9,0,0.9270976616231088,0.1451612903225806
SAMEA3136769,SR (megahit),83,1339,32,0,0.9429160935350756,0.4353741496598639
SAMEA3178937,Hybrid (hybridspades),207,1174,73,0,0.8576341127922971,0.4135977337110481
SAMEA3178937,LR (metaflye),257,1174,23,0,0.8232462173314993,0.1518151815181518
SAMEA3178937,SR (megahit),183,1174,97,0,0.8741403026134801,0.5145888594164456
